,vendor_key,vendor,type_key,type,model_key,model
314,,,,,meilan-5s,meizu_phone_meilan-5s
315,,,,,meilan-note-3,meizu_phone_meilan-note3
316,,,,,Honor_9_Lite,huawei_phone_honor9lite
317,,,,,D21AP,apple_phone_8plus
318,,,,,Galaxy-S9,samsung_phone_galaxy-s9
319,,,,,Redmi5A,xiaomi_phone_redmi5a
320,,,,,[TV] Samsung Q6 Series (75),samsung_tv_samsung_q6_series(75)
321,,,,,FIG-AL00,huawei_phone_changxiang7s
322,,,,,RedmiNote5A,xiaomi_phone_redminote5a
323,,,,,HUAWEI_MAIMANG_5,huawei_phone_maimang5
324,,,,,Honor_V8,huawei_phone_honorv8
325,,,,,iPhone6S,apple_phone_6s
326,,,,,HUAWEI_nova_2s,huawei_phone_nova2s
327,,,,,N56AP,apple_phone_6plus
,,,,,D101AP,apple_phone_7
,,,,,HUAWEI_nova,huawei_phone_nova
,,,,,MiWiFi-R3G,xiaomi_router_r3g
,,,,,HP LaserJet M1536dnf MFP ,hp_printer_mfp-m1536dnf
,,,,,HP LaserJet MFP M427dw ,hp_printer_mfp-m427dw
,,,,,vivo-X20Plus-A,vivo_phone_x20plus-a
,,,,,vivo_X7Plus,vivo_phone_x7plus
,,,,,OPPO-R17,oppo_phone_r17
,,,,,HUAWEI_nova_2i,huawei_phone_nova2i
,,,,,OPPO-R11st,oppo_phone_r11st
,,,,,HUAWEI_Mate_9_Pro,huawei_phone_mate9pro
,,,,,vivo-X9Plus,vivo_phone_x9plus
,,,,,vivo-Y67L,vivo_phone_y67l
,,,,,HUAWEI_Mate_9_Pro,huawei_phone_mate9pro
,,,,,OPPO-R15x,oppo_phone_r15x
,,,,,vivo_X7Plus,vivo_phone_x7plus
,,,,,CAZ-AL10,huawei_phone_nova
,,,,,DUB-AL00,huawei_phone_changxiang9
,,,,,W50J,whaley_tv_w50j
,,,,,HUAWEI_P9_Plus,huawei_phone_p9plus
,,,,,LED50D7200I_921D,changhong_tv_LED50D7200I
,,,,,vivo-X9s-Plus,vivo_phone_x9splus
,,,,,HUAWEI_P9_Plus,huawei_phone_p9plus
,,,,,iPhone4s,apple_phone_4s
,,,,,iPhone-6plus,apple_phone_6plus
,,,,,Philips-hue,philips_bridge_huebridge
,,,,,OnePlus5,oneplus_phone_5t
,,,,,"Fitbit,Versa",fitbit_watch_versa
,,,,,Galaxy-S10,samsung_phone_galaxy-s10
,,,,,OPPO-R11,oppo_phone_r11
,,,,,vivo-X9L,vivo_phone_x9l
,,,,,vivo-X9i,vivo_phone_x9i
,,,,,vivo-X9Plus-L,vivo_phone_x9plus-l
,,,,,HUAWEI_MediaPad_M5_lite,huawei_pad_mediapad-m5lite
,,,,,TRT-AL00,huawei_phone_changxiang7plus
,,,,,MiNote2,xiaomi_phone_note2
,,,,,GEM-703L,huawei_phone_honorx2
,,,,,vivo-Y75A,vivo_phone_y57a
,,,,,vivo-Z1,vivo_phone_z1
,,,,,Galaxy-A9-Star,samsung_phone_galaxy-a9-star
